"Артикул";"Ozon Product ID";"SKU";"Barcode";"Название товара";"Контент-рейтинг";"Бренд";"Статус товара";"Отзывы";"Рейтинг";"Видимость на Ozon";"Причины скрытия";"Дата создания";"Категория комиссии";"Объем товара, л";"Объемный вес, кг";"Доступно к продаже по схеме FBO, шт.";"Вывезти и нанести КИЗ (кроме Твери), шт";"Зарезервировано, шт";"Доступно к продаже по схеме FBS, шт.";"Доступно к продаже по схеме realFBS, шт.";"Зарезервировано на моих складах, шт";"Текущая цена с учетом скидки, ₽";"Цена до скидки (перечеркнутая цена), ₽";"Цена Premium, ₽";"Рыночная цена, ₽";"Актуальная ссылка на рыночную цену";"Размер НДС, %"
"'Б0061703";"594593489";"1119324981";"4210201426776";"Эпилятор Braun S9 SES 9-855 с щёточкой для лица белый/розовый тип 5378";"'82.5";"Braun";"Продается";"23";"'4.70";"Показывается";;"2023-08-04 10:40:45";"Косметическая техника";"'3.64";"'0.7";"7";"0";"0";"0";"0";"0";"24800.00";"39360.00";;;;"20%"
"'Б0058415";"594593725";"1119343255";"4210201433651";"Мужская электробритва Braun Series 7, Тёмно-синяя, S7 71-B1000s Wet&Dry 360";"'87.5";"Braun";"Продается";"72";"'4.70";"Показывается";;"2023-08-04 10:40:59";"Электронные товары для красоты и здоровья";"'2.45";"'0.5";"8";"0";"0";"0";"0";"0";"24760.00";"34860.00";;;;"20%"
"'81622444";"600606283";"1130254006";"2000000203010";"Защитный колпак для бритв Braun Series 3";"'25";"Braun";"Готов к продаже";"1";"'0.00";"Показывается";;"2023-08-11 08:48:57";"Аксессуары для электроники";"'0.25";"'0.1";"0";"0";"0";"0";"0";"0";"1550.00";"2110.00";;;;"20%"
"'Б0061733";"600827173";"1130674136";"4210201435457";"Электрическая зубная щетка ORAL-B iO 10 White, 7 режимов, с датчиком давления";"'100";"Oral-B";"Продается";"44";"'4.70";"Показывается";;"2023-08-11 12:53:08";"Электронные товары для красоты и здоровья";"'4.54";"'0.9";"9";"0";"0";"12";"12";"0";"48420.00";"71200.00";;;;"20%"
"'81703394";"614199905";"1154280843";"2000000192192";"Резервуар для воды ирригатора Oral-B 3720 серый";"'52.5";"Oral-B";"Продается";"2";"'0.00";"Показывается";;"2023-08-25 13:53:32";"Профессиональный уход за полостью рта";"'0.75";"'0.2";"0";"0";"0";"5";"0";"0";"2235.00";"3090.00";;;;"20%"
"'5512812211";"616314112";"1158028898";"2000000192628";"Резервуар для воды для парогенератора Braun IS5145BK";"'10";"Braun";"Продается";"1";"'5.00";"Показывается";;"2023-08-28 11:21:40";"Аксессуары для электроники";"'7.50";"'1.5";"0";"0";"0";"3";"3";"0";"4105.00";"5940.00";;;;"20%"
"'IS7286BK";"618997564";"1162792837";"8021098001023";"Парогенератор Braun CareStyle 7 Pro IS7286BK";"'77.5";"Braun";"Продается";"5";"'0.00";"Показывается";;"2023-08-30 14:33:24";"Электронная техника для дома";"'44.95";"'9.0";"0";"0";"0";"13";"13";"0";"41960.00";"59090.00";;;;"20%"
"'AX22110050";"659656139";"1223428500";"8021098001368";"Насадка-измельчитель Braun 500 мл для HB701-MQ70xx, MQ90xx, HB901-MQ91xx (AX22110050)";"'62.5";"Braun";"Готов к продаже";"0";"'0.00";"Показывается";;"2023-10-05 09:24:36";"Аксессуары для электроники";"'4.28";"'0.9";"0";"0";"0";"0";"0";"0";"6340.00";"8120.00";;;;"20%"
"'8700216214070";"673103496";"1239964978";"8700216214070";"Электрическая зубная щетка Oral-B Vitality Pro D103.413.3 Cross Action Protect X Clean, черная + Подарочная упаковка";"'100";"Oral-B";"Продается";"8";"'5.00";"Показывается";;"2023-10-13 14:25:01";"Электронные товары для красоты и здоровья";"'1.94";"'0.4";"3";"0";"0";"0";"0";"0";"4130.00";"6150.00";;;;"20%"
"'8001090916419";"678310599";"1246393117";"8001090916419";"Электрическая зубная щётка Oral-B Pro Series 1, с датчиком давления, 3 режима, Бирюзовая";"'92.5";"Oral-B";"Продается";"31";"'4.80";"Показывается";;"2023-10-17 06:44:09";"Электронные товары для красоты и здоровья";"'1.68";"'0.4";"2";"0";"0";"31";"31";"0";"4650.00";"6270.00";;;;"20%"
"'BR710";"678439210";"1246516745";"3030050182484";"Расческа с ионизацией Braun Satin Hair 7 BR710 / черный / аккумуляторная";"'62.5";"Braun";"Продается";"4";"'5.00";"Показывается";;"2023-10-17 07:26:17";"Электронные товары для красоты и здоровья";"'1.18";"'0.2";"0";"0";"0";"3";"3";"0";"5825.00";"8680.00";;;;"20%"
"'4210201445234";"702616622";"1268274125";"4210201445234";"Электрическая зубная щетка Oral-B iO 6 White, 5 режимов, с датчиком давления";"'80";"Oral-B";"Готов к продаже";"0";"'0.00";"Показывается";;"2023-10-31 13:32:02";"Электронные товары для красоты и здоровья";"'1.62";"'0.4";"0";"0";"0";"0";"0";"0";"26040.00";"37190.00";;;;"20%"
"'4210201448273";"702616626";"1268274154";"4210201448273";"Триммер Braun BT7420 Series 7 насадка для точного стайлинга, бритва Джиллетт, 100 мин работы от аккумулятора";"'70";"Braun";"Продается";"225";"'4.90";"Показывается";;"2023-10-31 13:32:02";"Электронные товары для красоты и здоровья";"'4.00";"'1.2";"4";"0";"0";"20";"20";"0";"11630.00";"17090.00";;;;"20%"
"'4210201446651";"702616733";"1268274011";"4210201446651";"Триммер Braun MGK3410 6 в 1 насадка для стайлинга, влажная очистка";"'82.5";"Braun";"Готов к продаже";"109";"'4.90";"Показывается";;"2023-10-31 13:32:05";"Электронные товары для красоты и здоровья";"'4.00";"'1.1";"0";"0";"0";"0";"0";"0";"3620.00";"7990.00";;;;"20%"
"'4210201437567";"704237205";"1269760710";"4210201437567";"Электрическая зубная щетка Oral-B iO 4 Quite White, 4 режима, с датчиком давления";"'82.5";"Oral-B";"Готов к продаже";"16";"'5.00";"Показывается";;"2023-11-01 10:28:27";"Электронные товары для красоты и здоровья";"'1.44";"'0.4";"0";"0";"0";"0";"0";"0";"16380.00";"25580.00";;;;"20%"
"'4210201437604";"704237209";"1269761667";"4210201437604";"Электрическая зубная щетка Oral-B iO 4 Matt Black, 4 режима, с датчиком давления";"'82.5";"Oral-B";"Готов к продаже";"16";"'5.00";"Показывается";;"2023-11-01 10:28:27";"Электронные товары для красоты и здоровья";"'1.44";"'0.4";"0";"0";"0";"0";"0";"0";"16380.00";"24810.00";;;;"20%"
"'4210201437581";"704237253";"1269760865";"4210201437581";"Электрическая зубная щетка Oral-B iO 4 Lavender, 4 режима, с датчиком давления";"'100";"Oral-B";"Продается";"16";"'5.00";"Показывается";;"2023-11-01 10:28:28";"Электронные товары для красоты и здоровья";"'1.44";"'0.4";"3";"0";"0";"0";"0";"0";"14670.00";"21250.00";;;;"20%"
"'4210201363095";"754228231";"1315257325";"4210201363095";"Электрическая зубная щётка Oral-B iO Series 8 Black Onyx, с инновационной магнитной технологией, цветной дисплей, премиальный дорожный футляр, Чёрная";"'100";"Oral-B";"Продается";"1";"'0.00";"Показывается";;"2023-11-29 08:25:26";"Электронные товары для красоты и здоровья";"'4.68";"'0.9";"9";"0";"0";"0";"0";"0";"30520.00";"43590.00";;;;"20%"
"'4210201327783";"779707231";"1338666168";"4210201327783";"Насадки для электрической зубной щетки Oral-B iO Gentle Care, 3 шт";"'62.5";"Oral-B";"Продается";"9";"'2.10";"Показывается";;"2023-12-13 08:27:03";"Аксессуары для электроники";"'0.67";"'0.1";"6";"0";"0";"7";"7";"0";"5045.00";"7410.00";;;;"20%"
"'4210201327745";"779707301";"1338668872";"4210201327745";"Насадки для электрической зубной щетки Oral-B iO Ultimate Clean White 3 шт";"'62.5";"Oral-B";"Продается";"9";"'2.10";"Показывается";;"2023-12-13 08:27:03";"Аксессуары для электроники";"'0.67";"'0.1";"8";"0";"0";"12";"12";"0";"4705.00";"6620.00";;;;"20%"
"'Б0062785";"784237110";"1342767780";"4210201415558";"Электрическая зубная щетка Oral-B iO 5 Matte Black";"'80";"Oral-B";"Готов к продаже";"2";"'3.90";"Показывается";;"2023-12-15 10:01:01";"Электронные товары для красоты и здоровья";"'4.25";"'0.9";"0";"0";"0";"0";"0";"0";"16480.00";"29990.00";;;;"20%"
"'Б0062793";"784237149";"1342767994";"4210201415534";"Электрическая зубная щетка Oral-B iO 5 White Alabaster";"'100";"Oral-B";"Продается";"2";"'3.10";"Показывается";;"2023-12-15 10:01:02";"Электронные товары для красоты и здоровья";"'4.25";"'0.9";"9";"0";"0";"25";"25";"0";"16540.00";"22650.00";;;;"20%"
"'Б0062812";"784237236";"1342767653";"4210201420620";"Электрическая зубная щетка Oral-B iO 5 DUO Black and White";"'80";"Oral-B";"Готов к продаже";"0";"'0.00";"Показывается";;"2023-12-15 10:01:03";"Электронные товары для красоты и здоровья";"'4.25";"'0.9";"0";"0";"0";"0";"0";"0";"26330.00";"35990.00";;;;"20%"
"'Б0062798_ARCHIEVE";"784237588";"1342767941";"4210201408390";"Электрическая зубная щетка Oral-B iO 9 Rose Quartz";"'80";"Oral-B";"Продается";"80";"'4.50";"Показывается";;"2023-12-15 10:01:14";"Электронные товары для красоты и здоровья";"'4.54";"'1.0";"3";"0";"0";"0";"0";"0";"34540.00";"60990.00";;;;"20%"
"'4210201429395";"802437702";"1359411155";"4210201429395";"Мужская электробритва Braun Series 5 51-W1600s";"'100";"Braun";"Готов к продаже";"383";"'4.90";"Показывается";;"2023-12-26 08:20:13";"Электронные товары для красоты и здоровья";"'2.45";"'0.5";"0";"0";"0";"0";"0";"0";"8935.00";"13290.00";;;;"20%"
"'Б0062779";"804437151";"1361194872";"8006540772409";"Детская электрическая зубная щетка Oral-B Vitality Kids Frozen D103.413.2K";"'100";"Oral-B";"Продается";"59";"'4.80";"Показывается";;"2023-12-27 08:15:58";"Электронные товары для красоты и здоровья";"'2.30";"'0.5";"3";"0";"0";"6";"6";"0";"4535.00";"7190.00";;;;"20%"
"'Б0062961";"838328650";"1390605343";"4210201448716";"Машинка для стрижки волос Braun HC5330 тип 5427";"'72.5";"Braun";"Продается";"12";"'5.00";"Показывается";;"2024-01-17 08:12:50";"Электронные товары для красоты и здоровья";"'2.18";"'0.5";"5";"0";"0";"3";"3";"0";"7610.00";"10410.00";;;;"20%"
"'Б0062902";"838328663";"1390605463";"4210201447757";"Триммер электрический Braun BT3411 / 20 установок длины / Насадка-гребень 1-10 мм";"'70";"Braun";"Продается";"225";"'4.90";"Показывается";;"2024-01-17 08:12:51";"Электронные товары для красоты и здоровья";"'2.07";"'0.5";"2";"0";"0";"24";"24";"0";"4675.00";"7070.00";;;;"20%"
"'Б0062931";"838328670";"1390606974";"7500435218016";"Мужская электробритва Braun Series 8 8517s Silver";"'62.5";"Braun";"Продается";"383";"'4.90";"Показывается";;"2024-01-17 08:12:51";"Электронные товары для красоты и здоровья";"'2.45";"'0.6";"7";"0";"0";"0";"0";"0";"31380.00";"42980.00";;;;"20%"
"'Б0062908";"838328684";"1390605465";"4210201447993";"Триммер электрический Braun BT5420 / 39 установок длины / 2 насадки-гребня";"'100";"Braun";"Продается";"225";"'4.90";"Показывается";;"2024-01-17 08:12:51";"Электронные товары для красоты и здоровья";"'2.07";"'0.5";"8";"0";"0";"26";"26";"0";"8360.00";"12280.00";;;;"20%"
"'Б0062404";"838328715";"1390605309";"4210201447276";"Триммер электрический Braun MGK7420 / Бритва Fusion ProGlide";"'80";"Braun";"Продается";"109";"'4.90";"Показывается";;"2024-01-17 08:12:51";"Электронные товары для красоты и здоровья";"'2.50";"'0.6";"0";"0";"0";"70";"70";"0";"13230.00";"19450.00";;;;"20%"
"'Б0062962";"838328839";"1390607406";"4210201448679";"Машинка для стрижки волос Braun HC5310 тип 5427";"'72.5";"Braun";"Продается";"5";"'5.00";"Показывается";;"2024-01-17 08:12:53";"Электронные товары для красоты и здоровья";"'2.18";"'0.5";"1";"0";"0";"2";"2";"0";"6830.00";"9990.00";;;;"20%"
"'Б0062960";"838328848";"1390605432";"4210201448754";"Машинка для стрижки волос Braun HC5350 тип 5427";"'72.5";"Braun";"Продается";"12";"'5.00";"Показывается";;"2024-01-17 08:12:54";"Электронные товары для красоты и здоровья";"'2.18";"'0.5";"3";"0";"0";"63";"63";"0";"8975.00";"12280.00";;;;"20%"
"'4210201343684";"838729305";"1390963097";"4210201343622";"Насадки для электрической зубной щетки Oral-B iO Gentle Care White, 4 шт";"'55";"Oral-B";"Продается";"9";"'2.10";"Показывается";;"2024-01-17 10:01:09";"Аксессуары для электроники";"'0.39";"'0.1";"5";"0";"0";"4";"4";"0";"7795.00";"10110.00";;;;"20%"
"'80281690";"838848083";"1391071829";"4210201317050";"Насадки для электрической зубной щетки Oral-B EB20-3 Precision Clean, 3 шт";"'62.5";"Oral-B";"Продается";"0";"'0.00";"Показывается";;"2024-01-17 11:10:14";"Аксессуары для электроники";"'0.26";"'0.1";"3";"0";"0";"0";"0";"0";"3035.00";"4210.00";;;;"20%"
"'8006540772928";"860396400";"1409677178";"8006540772928";"Электрическая зубная щетка Oral-B Vitality Kids Spiderman (D103.413.2K)";"'100";"Oral-B";"Продается";"59";"'4.80";"Показывается";;"2024-01-30 09:39:25";"Электронные товары для красоты и здоровья";"'1.32";"'0.3";"2";"0";"0";"0";"0";"0";"5500.00";"8200.00";;;;"20%"
"'8006540772539";"860454629";"1409717403";"2000000204628";"Электрическая зубная щетка Oral-B Vitality Kids D103.413.2K Frozen голубая для детей. 1 насадка для зубной щетки Oral-B в комплекте";"'90";"Oral-B";"Продается";"0";"'0.00";"Показывается";;"2024-01-30 10:06:21";"Электронные товары для красоты и здоровья";"'4.97";"'1.0";"0";"0";"0";"19";"19";"0";"4990.00";"6640.00";;;;"20%"
"'8006540731277";"860838607";"1410069232";"8006540731277";"Электрическая зубная щетка Oral-B iO 3 Matt Black (iOG3.1A6.0)";"'100";"Oral-B";"Продается";"7";"'5.00";"Показывается";;"2024-01-30 14:55:53";"Электронные товары для красоты и здоровья";"'4.25";"'0.9";"6";"0";"0";"12";"12";"0";"11490.00";"17400.00";;;;"20%"
"'4210201420644";"869098460";"1417328087";"4210201420644";"Электрическая зубная щетка Oral-B iO 5 Magnetic / розовый, 5 режимов, насадка, футляр";"'100";"Oral-B";"Готов к продаже";"0";"'0.00";"Показывается";;"2024-02-07 08:04:18";"Электронные товары для красоты и здоровья";"'4.50";"'0.9";"0";"0";"0";"0";"0";"0";"19760.00";"30390.00";;;;"20%"
"'7500435218030";"893110518";"1438424165";"7500435218030";"Мужская электробритва Braun Series 9 Pro+ 9515s";"'45";"Braun";"Продается";"23";"'4.40";"Показывается";;"2024-02-27 11:25:18";"Электронные товары для красоты и здоровья";"'2.45";"'1.0";"5";"0";"0";"9";"9";"0";"37570.00";"54440.00";;;;"20%"
"'3014260280772x2";"945492108";"1482072863";"4673760580783";"Зубная нить ORAL-B Essential Floss мятная 50м (2 шт.)";"'35";"Oral-B";"Готов к продаже";"9";"'5.00";"Показывается";;"2024-03-19 07:07:36";"Личная гигиена";"'1.50";"'0.3";"0";"0";"0";"0";"0";"0";"995.00";"0.00";;;;"20%"
"'4210201433231";"992255762";"1522612618";"4210201433231";"Мужская электробритва Braun Series 6 61-N7650CC";"'70";"Braun";"Продается";"0";"'0.00";"Показывается";;"2024-04-02 11:04:31";"Электронные товары для красоты и здоровья";"'6.66";"'1.3";"4";"0";"0";"0";"0";"0";"28530.00";"40750.00";;;;"20%"
"'4210201432616";"1007725522";"1535623904";"4210201432616";"Мужская электробритва Braun Series 5 51-W1200s Black/White Wet&Dry";"'87.5";"Braun";"Продается";"383";"'4.90";"Показывается";;"2024-04-08 08:08:59";"Электронные товары для красоты и здоровья";"'2.55";"'0.5";"3";"0";"0";"7";"7";"0";"9330.00";"13510.00";;;;"20%"
"'Б0064619";"1013716141";"1540647448";"4210201409434";"Электрическая зубная щетка Oral-B iO 7 Sapphire Blue";"'100";"Oral-B";"Продается";"44";"'4.70";"Показывается";;"2024-04-10 13:34:09";"Электронные товары для красоты и здоровья";"'4.99";"'1.0";"2";"0";"0";"0";"0";"0";"26710.00";"44990.00";;;;"20%"
"'EB50_1";"1022151905";"1548113602";"4673765486011";"Насадка для электрической зубной щетки Oral-B Cross Action EB 50-1 1 шт";"'100";"Oral-B";"Продается";"8";"'4.40";"Показывается";;"2024-04-16 13:59:30";"Аксессуары для электроники";"'0.32";"'0.1";"7";"0";"0";"0";"0";"0";"749.00";"0.00";;;;"20%"
"'EB50_1B";"1025454445";"1551021922";;"Насадка для электрической зубной щетки Oral-B Cross Action EB 50-1B 1 шт";"'100";"Oral-B";"Продается";"0";"'0.00";"Показывается";;"2024-04-18 14:32:43";"Аксессуары для электроники";"'0.32";"'0.1";"0";"0";"0";"5";"0";"0";"808.00";"0.00";;;;"20%"
"'4210201386469M";"1026280163";"1551734828";"2000000204611";"Насадки для электрической зубной щетки Oral-B Kids EB10S Mickey 4 шт";"'70";"Oral-B";"Продается";"0";"'0.00";"Показывается";;"2024-04-19 07:12:53";"Аксессуары для электроники";"'0.26";"'0.4";"7";"0";"0";"20";"20";"0";"3795.00";"5830.00";;;;"20%"
"'4210201386469P";"1026280189";"1551734284";"4210201386469";"Насадки для электрической зубной щетки Oral-B Kids EB10S Princess 4 шт";"'37.5";"Oral-B";"Готов к продаже";"0";"'0.00";"Показывается";;"2024-04-19 07:12:54";"Аксессуары для электроники";"'0.20";"'0.4";"0";"0";"0";"0";"0";"0";"3660.00";"5140.00";;;;"20%"
"'4210201386469C";"1026280197";"1551734418";"2000000204604";"Насадки для электрической зубной щетки Oral-B Kids EB10S Cars 4 шт";"'45";"Oral-B";"Продается";"0";"'0.00";"Показывается";;"2024-04-19 07:12:54";"Аксессуары для электроники";"'0.26";"'0.4";"7";"0";"0";"0";"0";"0";"3945.00";"5710.00";;;;"20%"
"'8006540731772";"1041321169";"1564888596";"8006540731772";"Набор электрических зубных щеток Oral-B iO 3 Duo Matt Black + Ice Blue";"'100";"Oral-B";"Продается";"7";"'5.00";"Показывается";;"2024-05-03 11:27:44";"Электронные товары для красоты и здоровья";"'5.44";"'1.1";"6";"0";"0";"3";"3";"0";"20930.00";"32190.00";;;;"20%"
"'8006540731321";"1041321188";"1564887882";"8006540731321";"Электрическая зубная щетка Oral-B iO 3 Ice Blue";"'100";"Oral-B";"Готов к продаже";"7";"'5.00";"Показывается";;"2024-05-03 11:27:47";"Электронные товары для красоты и здоровья";"'4.25";"'0.9";"0";"0";"0";"0";"0";"0";"13080.00";"17430.00";;;;"20%"
"'8006540731222";"1041321193";"1564887805";"8006540731222";"Электрическая зубная щетка Oral-B iO 3 Brush Pink";"'100";"Oral-B";"Готов к продаже";"7";"'5.00";"Показывается";;"2024-05-03 11:27:47";"Электронные товары для красоты и здоровья";"'2.02";"'0.6";"0";"0";"0";"0";"0";"0";"13080.00";"18410.00";;;;"20%"
"'IS1511WH";"1055366185";"1577313722";"8021098002785";"Парогенератор Braun CareStyle 1 IS1511WH";"'45";"Braun";"Продается";"7";"'5.00";"Показывается";;"2024-05-17 10:59:47";"Электронная техника для дома";"'29.23";"'5.8";"3";"0";"0";"0";"0";"0";"16280.00";"23930.00";;;;"20%"
"'Б0064621";"1065299963";"1586494642";"4210201447115";"Триммер электрический Braun MGK5440 Blk/Grey тип 5544";"'80";"Braun";"Продается";"109";"'4.90";"Показывается";;"2024-05-27 13:41:07";"Электронные товары для красоты и здоровья";"'2.07";"'0.5";"5";"0";"0";"21";"21";"0";"9570.00";"12920.00";;;;"20%"
"'8006540841204";"1066305036";"1587387138";"8006540841204";"Зубной центр Oral-B Ирригатор OxyJet + Электрическая зубная щетка iO 6 OCiOM6.540.5";"'62.5";"Oral-B";"Готов к продаже";"1";"'5.00";"Показывается";;"2024-05-28 09:47:55";"Профессиональный уход за полостью рта";"'6.42";"'1.7";"0";"0";"0";"0";"0";"0";"40990.00";"61170.00";;;;"20%"
"'7500435225151";"1077954017";"1598180355";"7500435225151";"Эпилятор Braun Silk-epil 7 SensoSmart 7-000";"'72.5";"Braun";"Готов к продаже";"343";"'4.90";"Показывается";;"2024-06-07 08:35:49";"Косметическая техника";"'2.52";"'0.5";"0";"0";"0";"0";"0";"0";"11220.00";"16250.00";;;;"20%"
"'7500435224963";"1077960823";"1598188285";"7500435224963";"Эпилятор Braun Silk-epil 3 SE 3-031";"'80";"Braun";"Продается";"179";"'4.60";"Показывается";;"2024-06-07 08:44:55";"Косметическая техника";"'2.52";"'0.5";"7";"0";"0";"28";"28";"0";"9800.00";"13230.00";;;;"20%"
"'7500435224949";"1077963676";"1598191363";"7500435224949";"Эпилятор Braun Silk-epil 1 1-000";"'92.5";"Braun";"Продается";"179";"'4.60";"Показывается";;"2024-06-07 08:48:22";"Косметическая техника";"'0.97";"'0.5";"3";"0";"0";"0";"0";"0";"7530.00";"10170.00";;;;"20%"
"'7500435225038";"1077973464";"1598207619";"7500435225038";"Эпилятор Braun Silk-epil 5 5-050, сухая/влажная эпиляция, подсветка SmartLight";"'72.5";"Braun";"Продается";"343";"'4.90";"Показывается";;"2024-06-07 08:58:44";"Косметическая техника";"'2.52";"'0.5";"4";"0";"0";"0";"0";"0";"16240.00";"21940.00";;;;"20%"
"'7500435225052";"1077988950";"1598220418";"7500435225052";"Эпилятор Braun Silk-epil 5 5-011, сухая/влажная эпиляция, подсветка SmartLight";"'72.5";"Braun";"Продается";"343";"'4.90";"Показывается";;"2024-06-07 09:12:09";"Косметическая техника";"'2.52";"'0.5";"3";"0";"0";"0";"0";"0";"11860.00";"16020.00";;;;"20%"
"'7500435225328";"1077992647";"1598222942";"7500435225328";"Эпилятор Braun Silk-epil 9 Flex SES 9-011";"'92.5";"Braun";"Продается";"23";"'4.70";"Показывается";;"2024-06-07 09:16:52";"Косметическая техника";"'11.29";"'2.3";"2";"0";"0";"0";"0";"0";"21160.00";"31110.00";;;;"20%"
"'7500435224956";"1078006879";"1598243160";"7500435224956";"Эпилятор Braun Silk-epil 3 SE 3-202";"'80";"Braun";"Продается";"179";"'4.60";"Показывается";;"2024-06-07 09:33:53";"Косметическая техника";"'2.52";"'0.5";"9";"0";"0";"39";"39";"0";"7865.00";"10620.00";;;;"20%"
"'7500435224932";"1078008808";"1598264037";"7500435224932";"Эпилятор Braun Silk-epil 1 1-010";"'92.5";"Braun";"Продается";"179";"'4.60";"Показывается";;"2024-06-07 09:35:30";"Косметическая техника";"'0.97";"'0.5";"7";"0";"0";"0";"0";"0";"6220.00";"8400.00";;;;"20%"
"'7500435225069";"1078010334";"1598248817";"7500435225069";"Эпилятор Braun Silk-epil 5 5-000, сухая/влажная эпиляция, подсветка SmartLight";"'72.5";"Braun";"Готов к продаже";"343";"'4.90";"Показывается";;"2024-06-07 09:36:51";"Косметическая техника";"'2.52";"'0.5";"0";"0";"0";"0";"0";"0";"8915.00";"12040.00";;;;"20%"
"'Б0052956-Б0052980";"1097289364";"1615908771";"4673765486080";"Электрическая зубная щетка Oral-B Pro 3 3500 D505.513.3 + насадки Cross Action, 4 шт";"'100";"Oral-B";"Готов к продаже";"117";"'4.80";"Показывается";;"2024-06-28 08:44:21";"Электронные товары для красоты и здоровья";"'5.00";"'1.0";"0";"0";"0";"0";"0";"0";"8230.00";"11260.00";;;;"20%"
"'Б0059618-Б0052980";"1097289369";"1615906846";"4673765486042";"Электрическая зубная щетка Oral-B Vitality Pro D103.413.3 + насадки Cross Action B, 4 шт";"'87.5";"Oral-B";"Готов к продаже";"0";"'0.00";"Показывается";;"2024-06-28 08:44:21";"Электронные товары для красоты и здоровья";"'2.90";"'0.6";"0";"0";"0";"0";"0";"0";"5965.00";"7918.00";;;;"20%"
"'Б0052956-Б0052979";"1097289403";"1615907012";"4673765486097";"Электрическая зубная щетка Oral-B Pro 3 3500 D505.513.3 + насадки Cross Action, 2 шт";"'100";"Oral-B";"Продается";"117";"'4.80";"Показывается";;"2024-06-28 08:44:21";"Электронные товары для красоты и здоровья";"'5.00";"'1.0";"0";"0";"0";"1";"1";"0";"7675.00";"10500.00";;;;"20%"
"'Б0059618-Б0052979";"1097289420";"1615906924";"4673765486059";"Электрическая зубная щетка Oral-B Vitality Pro D103.413.3 + насадки Cross Action B, 2 шт";"'87.5";"Oral-B";"Продается";"0";"'0.00";"Показывается";;"2024-06-28 08:44:22";"Электронные товары для красоты и здоровья";"'2.90";"'0.6";"3";"0";"0";"6";"6";"0";"6195.00";"7930.00";;;;"20%"
"'8001090916419-Б0052981";"1097289442";"1615907234";"4673765486134";"Электрическая зубная щётка Oral-B Pro Series 1 + насадки Cross Action, 2 шт";"'82.5";"Oral-B";"Продается";"31";"'4.80";"Показывается";;"2024-06-28 08:44:23";"Электронные товары для красоты и здоровья";"'5.00";"'1.0";"3";"0";"0";"3";"3";"0";"6080.00";"9060.00";;;;"20%"
"'Б0066508";"1097578328";"1616168616";"7500435225243";"Эпилятор Braun Silk-epil SES9-000 Flamingo SmartTouch белый/розовый + косметичка";"'72.5";"Braun";"Продается";"23";"'4.70";"Показывается";;"2024-06-28 14:13:05";"Косметическая техника";"'2.88";"'0.6";"7";"0";"0";"15";"15";"0";"17760.00";"28180.00";;;;"20%"
"'Б0066549";"1097580702";"1616172238";"7500435225212";"Эпилятор Braun Silk-epil SES9-041 SmartTouch + бритвенная насадка + косметичка";"'72.5";"Braun";"Продается";"23";"'4.70";"Показывается";;"2024-06-28 14:20:27";"Косметическая техника";"'2.52";"'0.5";"7";"0";"0";"48";"48";"0";"18020.00";"26990.00";;;;"20%"
"'Б0066512";"1097609282";"1616206559";"7500435225076";"Эпилятор Braun Silk-epil SE7-441 + Триммер BS1000";"'72.5";"Braun";"Продается";"343";"'4.90";"Показывается";;"2024-06-28 14:58:00";"Косметическая техника";"'5.72";"'1.1";"3";"0";"0";"0";"0";"0";"21170.00";"32070.00";;;;"20%"
"'AS00001834";"1113851823";"1630552215";"2000000204901";"Резервуар для воды парогенератора BRAUN IS3155VI CareStyle3 PRO";"'47.5";"Braun";"Продается";"0";"'0.00";"Показывается";;"2024-07-17 10:33:23";"Аксессуары для электроники";"'7.50";"'1.5";"0";"0";"0";"1";"0";"0";"2885.00";"4990.00";;;;"20%"
"'7500435218023";"1113851839";"1630552762";"7500435218023";"Мужская электробритва Braun Series 9 Pro+ 9510s";"'77.5";"Braun";"Продается";"23";"'4.40";"Показывается";;"2024-07-17 10:33:23";"Электронные товары для красоты и здоровья";"'2.45";"'1.0";"10";"0";"0";"18";"18";"0";"36930.00";"56590.00";;;;"20%"
"'7500435225120";"1113851847";"1630552707";"7500435225120";"Эпилятор Braun Silk-epil 7 SE 7-030";"'72.5";"Braun";"Продается";"343";"'4.90";"Показывается";;"2024-07-17 10:33:23";"Косметическая техника";"'2.52";"'0.5";"2";"0";"0";"0";"0";"0";"15920.00";"23060.00";;;;"20%"
"'4210201447177";"1113851859";"1630553192";"4210201447177";"Триммер Braun MGK5445";"'70";"Braun";"Продается";"225";"'4.90";"Показывается";;"2024-07-17 10:33:24";"Электронные товары для красоты и здоровья";"'2.43";"'0.5";"14";"0";"0";"14";"14";"0";"8775.00";"12010.00";;;;"20%"
"'AS00001836";"1113851868";"1630553355";"2000000204918";"Резервуар для воды парогенератора BRAUN IS3157BL CareStyle3 PRO";"'47.5";"Braun";"Готов к продаже";"3";"'2.80";"Показывается";;"2024-07-17 10:33:25";"Аксессуары для электроники";"'7.50";"'1.5";"0";"0";"0";"0";"0";"0";"2845.00";"4990.00";;;;"20%"
"'4210201448051";"1113851870";"1630553304";"4210201448051";"Триммер электрический Braun BT5421 черный";"'80";"Braun";"Продается";"225";"'4.90";"Показывается";;"2024-07-17 10:33:26";"Электронные товары для красоты и здоровья";"'2.35";"'0.5";"10";"0";"0";"75";"75";"0";"9205.00";"13140.00";;;;"20%"
