"Артикул";"Ozon Product ID";"SKU";"Barcode";"Название товара";"Контент-рейтинг";"Бренд";"Статус товара";"Отзывы";"Рейтинг";"Видимость на Ozon";"Причины скрытия";"Дата создания";"Категория комиссии";"Объем товара, л";"Объемный вес, кг";"Доступно к продаже по схеме FBO, шт.";"Вывезти и нанести КИЗ (кроме Твери), шт";"Зарезервировано, шт";"Доступно к продаже по схеме FBS, шт.";"Доступно к продаже по схеме realFBS, шт.";"Зарезервировано на моих складах, шт";"Текущая цена с учетом скидки, ₽";"Цена до скидки (перечеркнутая цена), ₽";"Цена Premium, ₽";"Рыночная цена, ₽";"Актуальная ссылка на рыночную цену";"Размер НДС, %"
"'Б0058407";"436365177";"835373591";"4210201432197";"Мужская электробритва Braun Series 5 51-B1000s / сухое и влажное бритьё / чёрно-синяя";"'87.5";"Braun";"Продается";"383";"'4.90";"Показывается";;"2023-01-12 08:22:46";"Электронные товары для красоты и здоровья";"'2.45";"'0.5";"2";"0";"0";"5";"5";"0";"10070.00";"23990.00";;;;"20%"
"'Б0058410";"436374857";"835391645";"4210201432593";"Мужская электробритва Braun Series 5 51-M1000s / сухое и влажное бритьё / чёрно-бирюзовая";"'100";"Braun";"Готов к продаже";"383";"'4.90";"Показывается";;"2023-01-12 08:42:58";"Электронные товары для красоты и здоровья";"'2.45";"'0.5";"0";"0";"0";"0";"0";"0";"8210.00";"12290.00";;;;"20%"
"'Б0059849";"436406164";"835443531";"4210201433804";"Мужская электробритва Braun Series 7 71-N1000S / сухое и влажное бритьё / дисплей";"'87.5";"Braun";"Продается";"72";"'4.70";"Показывается";;"2023-01-12 09:35:51";"Электронные товары для красоты и здоровья";"'2.45";"'0.5";"1";"0";"0";"0";"0";"0";"22590.00";"31990.00";;;;"20%"
"'Б0059894";"436420882";"835466289";"4210201433729";"Мужская электробритва Braun Series 7 71-S4200cs Silver сухое и влажное бритьё";"'90";"Braun";"Продается";"72";"'4.70";"Показывается";;"2023-01-12 10:01:55";"Электронные товары для красоты и здоровья";"'2.45";"'0.5";"3";"0";"0";"0";"0";"0";"20900.00";"30990.00";;;;"20%"
"'4210201282112";"436967646";"836505153";"4210201282112";"Триммер универсальный Braun MGK3225 / 6 насадок / 50 минут работы от аккумулятора";"'70";"Braun";"Продается";"109";"'4.90";"Показывается";;"2023-01-13 13:05:18";"Электронные товары для красоты и здоровья";"'2.35";"'0.5";"5";"0";"0";"94";"94";"0";"4920.00";"6730.00";;;;"20%"
"'SI1040GR";"436997059";"836575457";"8021098000781";"Утюг Braun SI1040GR / 2000 Вт / керамическая подошва";"'70";"Braun";"Продается";"12";"'3.70";"Показывается";;"2023-01-13 14:00:16";"Электронная техника для дома";"'7.17";"'1.5";"1";"0";"0";"0";"0";"0";"4820.00";"7180.00";;;;"20%"
"'Б0059618";"437939984";"838275645";"4210201427087";"Электрическая зубная щетка Oral-B Vitality Pro D103.413.3 Cross Action Protect X Clean Black 3 режима / 32 мин работы от аккумулятора";"'100";"Oral-B";"Продается";"152";"'5.00";"Показывается";;"2023-01-16 13:22:16";"Электронные товары для красоты и здоровья";"'2.28";"'0.5";"12";"0";"0";"69";"69";"0";"4155.00";"5600.00";;;;"20%"
"'Б0059620";"437949875";"838286103";"4210201426981";"Электрическая зубная щетка Oral-B Vitality Pro D103.413.3 Cross Action Protect X Clean Lilac 3 режима / 32 мин работы от аккумулятора";"'100";"Oral-B";"Продается";"152";"'5.00";"Показывается";;"2023-01-16 13:35:48";"Электронные товары для красоты и здоровья";"'2.28";"'0.5";"5";"0";"0";"0";"0";"0";"3985.00";"5520.00";;;;"20%"
"'4210201318064";"439170556";"840609421";"4210201318064";"Насадки для электрической зубной щетки Oral-B EB60 Sensitive Clean (3 шт)";"'92.5";"Oral-B";"Продается";"52";"'4.90";"Показывается";;"2023-01-19 09:06:17";"Аксессуары для электроники";"'0.26";"'0.1";"28";"0";"0";"0";"0";"0";"2655.00";"3480.00";;;;"20%"
"'4210201417409";"439188200";"840644005";"4210201317104";"Насадки для электрической зубной щетки Oral-B Cross Action EB 50-3 (3 шт)";"'100";"Oral-B";"Продается";"5";"'5.00";"Показывается";;"2023-01-19 09:19:41";"Аксессуары для электроники";"'0.26";"'0.1";"29";"0";"0";"0";"0";"0";"2440.00";"3290.00";;;;"20%"
